R,G,B,PROTEIN
225,226,123,NEGATIVE
223,226,123,NEGATIVE
220,226,126,NEGATIVE
222,234,123,NEGATIVE
225,233,120,NEGATIVE
225,231,128,NEGATIVE
222,232,128,NEGATIVE
221,230,127,NEGATIVE
220,229,123,NEGATIVE
225,231,121,NEGATIVE
219,229,123,NEGATIVE
225,226,120,NEGATIVE
227,227,127,NEGATIVE
219,228,123,NEGATIVE
223,231,122,NEGATIVE
219,232,125,NEGATIVE
221,232,123,NEGATIVE
225,227,121,NEGATIVE
226,228,124,NEGATIVE
187,216,102,TRACE
188,215,108,TRACE
182,212,105,TRACE
184,218,102,TRACE
184,217,102,TRACE
182,211,105,TRACE
189,213,104,TRACE
184,213,104,TRACE
185,212,105,TRACE
182,216,105,TRACE
182,215,104,TRACE
184,214,103,TRACE
189,215,108,TRACE
185,218,104,TRACE
184,212,106,TRACE
182,218,106,TRACE
185,219,102,TRACE
183,214,102,TRACE
184,211,103,TRACE
186,218,107,TRACE
176,211,126,15+
173,213,126,15+
177,212,125,15+
169,216,133,15+
176,216,128,15+
175,211,133,15+
175,212,126,15+
175,208,129,15+
177,211,127,15+
176,212,128,15+
171,213,133,15+
169,208,125,15+
175,209,126,15+
176,216,126,15+
169,215,131,15+
171,214,133,15+
174,213,126,15+
177,214,131,15+
174,211,129,15+
169,211,128,15+
123,192,155,30++
117,192,155,30++
116,191,148,30++
121,185,155,30++
118,185,149,30++
121,193,152,30++
115,189,154,30++
119,191,148,30++
121,192,156,30++
118,187,150,30++
119,185,148,30++
119,190,150,30++
119,190,153,30++
115,192,155,30++
121,186,152,30++
122,188,152,30++
115,188,152,30++
120,188,150,30++
122,190,153,30++
115,191,156,30++
88,179,171,60+++
95,174,172,60+++
87,175,168,60+++
93,178,169,60+++
95,178,165,60+++
95,175,172,60+++
95,178,171,60+++
91,182,172,60+++
90,175,165,60+++
91,176,170,60+++
93,174,168,60+++
91,177,165,60+++
93,177,168,60+++
95,174,169,60+++
87,182,172,60+++
95,178,173,60+++
90,182,172,60+++
88,180,167,60+++
89,180,168,60+++
90,174,166,60+++
137,148,151,110++++
137,146,146,110++++
136,145,148,110++++
136,147,148,110++++
132,148,145,110++++
136,150,145,110++++
135,150,145,110++++
135,149,148,110++++
133,147,146,110++++
138,148,150,110++++
140,147,146,110++++
140,148,145,110++++
136,149,151,110++++
132,145,147,110++++
135,148,145,110++++
139,151,151,110++++
132,149,145,110++++
133,151,149,110++++
137,147,148,110++++
139,150,146,110++++
