R,G,B,NITRITE
250,251,223,NEGATIVE
252,252,218,NEGATIVE
249,247,216,NEGATIVE
250,248,216,NEGATIVE
255,247,221,NEGATIVE
249,248,219,NEGATIVE
248,246,223,NEGATIVE
254,250,224,NEGATIVE
248,251,224,NEGATIVE
255,248,223,NEGATIVE
251,247,223,NEGATIVE
252,252,219,NEGATIVE
255,252,221,NEGATIVE
249,249,218,NEGATIVE
249,249,219,NEGATIVE
247,249,216,NEGATIVE
252,248,219,NEGATIVE
251,247,218,NEGATIVE
255,251,218,NEGATIVE
247,215,215,POSITIVE1
251,216,215,POSITIVE1
245,218,218,POSITIVE1
251,217,215,POSITIVE1
248,218,216,POSITIVE1
246,218,215,POSITIVE1
253,215,215,POSITIVE1
246,217,213,POSITIVE1
248,219,213,POSITIVE1
249,216,218,POSITIVE1
252,219,217,POSITIVE1
246,217,219,POSITIVE1
249,217,216,POSITIVE1
249,218,216,POSITIVE1
253,221,212,POSITIVE1
251,221,216,POSITIVE1
253,216,214,POSITIVE1
245,220,212,POSITIVE1
248,216,217,POSITIVE1
252,220,215,POSITIVE1
240,179,201,POSITIVE2
241,181,198,POSITIVE2
239,183,197,POSITIVE2
244,184,195,POSITIVE2
242,179,196,POSITIVE2
246,182,199,POSITIVE2
240,176,200,POSITIVE2
239,181,201,POSITIVE2
245,180,200,POSITIVE2
247,176,197,POSITIVE2
244,176,201,POSITIVE2
246,181,200,POSITIVE2
244,184,200,POSITIVE2
242,182,196,POSITIVE2
240,183,197,POSITIVE2
244,181,196,POSITIVE2
239,181,200,POSITIVE2
241,178,199,POSITIVE2
239,183,200,POSITIVE2
247,178,202,POSITIVE2
243,81,135,POSITIVE3
238,78,131,POSITIVE3
238,81,132,POSITIVE3
236,78,129,POSITIVE3
237,80,134,POSITIVE3
239,76,132,POSITIVE3
237,78,133,POSITIVE3
235,74,130,POSITIVE3
241,75,129,POSITIVE3
235,80,129,POSITIVE3
242,74,130,POSITIVE3
239,82,133,POSITIVE3
243,81,129,POSITIVE3
238,76,128,POSITIVE3
241,82,129,POSITIVE3
239,82,129,POSITIVE3
239,79,134,POSITIVE3
242,80,129,POSITIVE3
236,77,128,POSITIVE3
235,79,136,POSITIVE3
