R,G,B,pH
250,135,80,ph5
242,144,80,ph5
243,135,77,ph5
244,139,77,ph5
240,143,77,ph5
248,144,85,ph5
245,140,82,ph5
240,145,83,ph5
243,141,82,ph5
240,137,82,ph5
248,135,82,ph5
248,137,77,ph5
242,136,78,ph5
240,144,80,ph5
242,137,75,ph5
241,138,83,ph5
250,141,82,ph5
244,136,82,ph5
242,145,81,ph5
250,163,83,ph6
250,163,81,ph6
247,166,81,ph6
250,165,85,ph6
248,169,88,ph6
246,168,81,ph6
251,169,89,ph6
248,165,83,ph6
252,170,88,ph6
252,169,82,ph6
249,168,89,ph6
251,167,88,ph6
252,168,85,ph6
247,168,87,ph6
248,163,81,ph6
250,198,109,ph6.5
252,192,108,ph6.5
251,198,106,ph6.5
253,196,111,ph6.5
254,197,108,ph6.5
253,199,104,ph6.5
254,194,105,ph6.5
254,199,104,ph6.5
251,194,108,ph6.5
250,199,112,ph6.5
253,198,106,ph6.5
254,193,109,ph6.5
252,192,106,ph6.5
252,193,111,ph6.5
254,192,108,ph6.5
252,193,106,ph6.5
253,193,110,ph6.5
251,198,104,ph6.5
254,197,112,ph6.5
251,194,105,ph6.5
249,192,104,ph6.5
253,199,108,ph6.5
249,198,110,ph6.5
254,192,109,ph6.5
254,198,105,ph6.5
209,192,94,ph7.0
211,186,99,ph7.0
205,191,98,ph7.0
211,192,100,ph7.0
209,185,94,ph7.0
209,189,95,ph7.0
206,188,98,ph7.0
209,189,94,ph7.0
205,189,97,ph7.0
209,188,100,ph7.0
206,190,94,ph7.0
211,192,97,ph7.0
205,186,99,ph7.0
203,190,100,ph7.0
203,192,94,ph7.0
137,153,88,ph7.5
133,146,83,ph7.5
141,146,85,ph7.5
139,147,90,ph7.5
133,151,88,ph7.5
139,146,83,ph7.5
141,152,84,ph7.5
135,151,83,ph7.5
136,152,82,ph7.5
133,147,88,ph7.5
133,146,86,ph7.5
134,149,84,ph7.5
138,145,90,ph7.5
133,146,89,ph7.5
133,147,87,ph7.5
87,172,150,ph8.0
81,177,148,ph8.0
83,173,151,ph8.0
80,169,147,ph8.0
84,169,148,ph8.0
80,174,147,ph8.0
85,174,146,ph8.0
87,173,147,ph8.0
81,170,143,ph8.0
84,169,150,ph8.0
87,170,145,ph8.0
80,173,148,ph8.0
83,176,150,ph8.0
82,169,147,ph8.0
86,177,146,ph8.0
0,124,129,ph8.5
0,131,128,ph8.5
0,123,131,ph8.5
0,125,127,ph8.5
0,124,135,ph8.5
0,129,134,ph8.5
0,127,128,ph8.5
0,122,129,ph8.5
0,123,129,ph8.5
0,122,126,ph8.5
0,127,134,ph8.5
0,123,127,ph8.5
0,123,131,ph8.5
0,131,131,ph8.5
0,127,130,ph8.5
